names,pvals_adj,logfoldchanges,scores,pts,pts_rest,cluster_name
AAEL000394,2.0217676161819837e-20,1.6014824,9.574147,0.2631578947368421,0.035637149028077755,FBC
AAEL017319,2.3824510824395683e-20,1.1147171,9.556859,0.281203007518797,0.051064486269669855,FBC
AAEL006221,2.6596859320164257e-20,1.5024649,9.545354,0.26015037593984963,0.0330145016970071,FBC
AAEL008366,3.1685937507866434e-20,2.0607178,9.526882,0.25263157894736843,0.02746066029003394,FBC
AAEL006363,3.18417183342829e-20,1.1416931,9.526271,0.27518796992481204,0.04689910521443999,FBC
AAEL023529,4.098443671283979e-20,1.8034068,9.499816,0.26015037593984963,0.03471150879358223,FBC
AAEL024793,4.1683930067367495e-20,1.3023069,9.4979515,0.26917293233082706,0.042270904041962355,FBC
AAEL005048,4.248369205454972e-20,1.3444803,9.495869,0.2721804511278195,0.04458500462820117,FBC
AAEL013188,4.2691964180090805e-20,1.8903972,9.495257,0.2556390977443609,0.031163221228016045,FBC
AAEL021071,4.8937454697408656e-20,1.943158,9.48092,0.2556390977443609,0.030854674483184203,FBC
AAEL004056,5.824526821088971e-20,1.7946506,9.462428,0.2556390977443609,0.031008947855600124,FBC
AAEL002108,6.569698025043006e-20,1.3550556,9.449631,0.26917293233082706,0.04350509102128972,FBC
AAEL014414,8.617483857397294e-20,1.0902287,9.420778,0.27669172932330827,0.05044739278000617,FBC
AAEL026497,9.948386543252834e-20,1.3066705,9.405483,0.26165413533834586,0.037179882752236965,FBC
AAEL006859,1.1790674826769953e-19,1.5818862,9.387397,0.2571428571428571,0.03347732181425486,FBC
AAEL014130,1.5025891937788484e-19,1.7233443,9.361307,0.2511278195488722,0.029003394014193152,FBC
AAEL022346,1.5404826626918453e-19,1.93378,9.358574,0.2511278195488722,0.029929034248688677,FBC
AAEL023845,1.5537287342477066e-19,1.9073687,9.357568,0.2586466165413534,0.03687133600740512,FBC
AAEL010546,2.104011771185862e-19,1.3841474,9.325065,0.26165413533834586,0.03995680345572354,FBC
AAEL021473,2.366300903754225e-19,1.3335894,9.312464,0.2706766917293233,0.047516198704103674,FBC
AAEL002779,4.92238254332764e-19,1.1238172,9.232873,0.281203007518797,0.05893242826288183,FBC
AAEL011048,5.564492550338541e-19,1.3204211,9.219532,0.2631578947368421,0.04304227090404196,FBC
AAEL008899,5.775081491352769e-19,1.734816,9.215447,0.25263157894736843,0.034094415303918546,FBC
AAEL020535,8.177209285380595e-19,1.2229255,9.177556,0.26165413533834586,0.042116630669546434,FBC
